2522	4.3	412.6047	2522	-9
3367	-.6	285.2318	3367	-9
3449	1.8	287.3535	3449	-9
2656	.3	552.564	2656	-9
5454	3.8	443.6253	5454	-9
3381	2.5	452.4882	3381	-9
3877	-.9	229.2562	3877	-9
60754		591.6716	60754	-9
2713	.1	505.4466	2713	-9
5731	2.2	287.3568	5731	-9
4675	6.6	572.8619	4675	-9
5672	3.6	778.9323	5672	-9
4253	.8	285.3376	4253	-9
2949	3.8	337.4553	2949	-9
5771	-2.6	1007.187	5771	-9
2786	2.2	424.983	2786	-9
71273	2.9	274.4012	71273	-9
4730	2.7	349.3816	4730	-9
3642	3.2	432.5497	3642	-9
4542	3.3	312.4458	4542	-9
5515	.5	421.4458	5515	-9
5234		58.44277	5234	-9
3382	3.2	494.5249	3382	-9
3003	1.9	392.4611	3003	-9
123620	2.7	427.3613	123620	-9
191	-1.1	267.2413	191	-9
125889	-1.6	159.2261	125889	-9
57537	4.9	315.4729	57537	-9
150310	1.4	414.4914	150310	-9
4889	1.6	424.5277	4889	-9
6447131	3.8	810.4531	6447131	-9
4428	1.9	341.4009	4428	-9
4046	3.6	378.3122	4046	-9
122316	1.8	171.2383	122316	-9
72467	-7.5	1415.552	72467	-9
4894	1.6	360.444	4894	-9
5523	2.6	263.3752	5523	-9
3661	1.8	289.3694	3661	-9
4834	1.1	516.5468	4834	-9
5184	.9	303.3529	5184	-9
3403	3.5	411.4659	3403	-9
2274	.3	435.4328	2274	-9
5281007	-.3	182.1832	5281007	-9
4411	.7	309.4006	4411	-9
1972	0	924.079	1972	-9
3648	1.8	285.3376	3648	-9
60831	2.3	392.5123	60831	-9
4451	5.7	567.7824	4451	-9
54547	-1.4	427.4554	54547	-9
2462	2.5	430.5339	2462	-9
2232	1.3	508.6341	2232	-9
4264	3	500.6222	4264	-9
2311	1.3	424.4895	2311	-9
5408	3.3	288.4244	5408	-9
5402	5.6	291.4299	5402	-9
9571074	.7	506.5784	9571074	-9
4659568	2.1	305.286	4659568	-9
3158	4.3	279.3761	3158	-9
5311039	1.3	1077.314	5311039	-9
41317	6.1	326.4294	41317	-9
4479097		1347.363	4479097	-9
4053	-.5	305.2002	4053	-9
4607	3	400.4283	4607	-9
4691	3.5	329.3654	4691	-9
4259	.6	401.4314	4259	-9
5538	6.3	300.4351	5538	-9
54688	3.2	747.9534	54688	-9
4183806	3.7	382.5341	4183806	-9
4140	2.3	339.4314	4140	-9
5155	-.8	224.2133	5155	-9
3350	3	372.5441	3350	-9
3468412	-.3	926.0949	3468412	-9
39765	6.5	557.8274	39765	-9
3203	4	315.675	3203	-9
60835	4.3	297.4146	60835	-9
5077	2.3	250.3367	5077	-9
2609	-1.8	367.8074	2609	-9
60815	1.9	376.4467	60815	-9
4727	-1.8	149.2113	4727	-9
3154	.4	324.44	3154	-9
4052	3.4	351.4007	4052	-9
4885	1.9	211.3271	4885	-9
