Gene WB ID	Gene Public Name	RNAi Phen. Obs. IDs (merged)	RNAi Phen. Obs. Info (merged)	Sequence Name (CDS)	Sequence Name (Gene)
WBGene00000001	aap-1			Y110A7A.10	Y110A7A.10
WBGene00000002	aat-1			F27C8.1	F27C8.1
WBGene00000003	aat-2			F07C3.7	F07C3.7
WBGene00000004	aat-3	WBPhenotype:0001184	Observed: [WBPhenotype:0001184] fat content increased: experiments=1,primary=1,specific=1,observed=1	F52H2.2	F52H2.2
WBGene00000005	aat-4			T13A10.10	T13A10.10
WBGene00000006	aat-5			C55C2.5a	C55C2.5
WBGene00000006	aat-5			C55C2.5b	C55C2.5
WBGene00000006	aat-5			C55C2.5c	C55C2.5
WBGene00000007	aat-6			T11F9.4a	T11F9.4
WBGene00000007	aat-6			T11F9.4b	T11F9.4
WBGene00000008	aat-7			F54D12.3	F54D12.3
WBGene00000009	aat-8	WBPhenotype:0000061 | WBPhenotype:0000461	Observed: [WBPhenotype:0000061] AGE extended life span: experiments=1,primary=1,specific=0,observed=1 | Observed: [WBPhenotype:0000461] paraquat resistant: experiments=1,primary=1,specific=0,observed=1	F28F9.4	F28F9.4
WBGene00000010	aat-9			Y53H1C.1a	Y53H1C.1
WBGene00000010	aat-9			Y53H1C.1b	Y53H1C.1
WBGene00000011	abc-1				
WBGene00000012	abf-1			C50F2.9	C50F2.9
WBGene00000013	abf-2			C50F2.10	C50F2.10
WBGene00000014	abf-3			F54B8.5	F54B8.5
WBGene00000015	abf-4			Y38H6C.22	Y38H6C.22
WBGene00000016	abf-5			T22H6.5	T22H6.5
WBGene00000017	abf-6			T22H6.7	T22H6.7
WBGene00000018	abl-1	WBPhenotype:0000182 | WBPhenotype:0000686 | WBPhenotype:0000731 | WBPhenotype:0001014	Observed: [WBPhenotype:0000182] apoptosis reduced: experiments=1,primary=1,specific=1,observed=1 | Observed: [WBPhenotype:0000686] organism ionizing radiation response variant: experiments=1,primary=1,specific=1,observed=1 | Observed: [WBPhenotype:0000731] germ cell hypersensitive ionizing radiation: experiments=3,primary=3,specific=3,observed=3 | Observed: [WBPhenotype:0001014] pathogen resistance increased: experiments=1,primary=1,specific=1,observed=1	M79.1a	M79.1
WBGene00000018	abl-1	WBPhenotype:0000182 | WBPhenotype:0000686 | WBPhenotype:0000731 | WBPhenotype:0001014	Observed: [WBPhenotype:0000182] apoptosis reduced: experiments=1,primary=1,specific=1,observed=1 | Observed: [WBPhenotype:0000686] organism ionizing radiation response variant: experiments=1,primary=1,specific=1,observed=1 | Observed: [WBPhenotype:0000731] germ cell hypersensitive ionizing radiation: experiments=3,primary=3,specific=3,observed=3 | Observed: [WBPhenotype:0001014] pathogen resistance increased: experiments=1,primary=1,specific=1,observed=1	M79.1b	M79.1
WBGene00000018	abl-1	WBPhenotype:0000182 | WBPhenotype:0000686 | WBPhenotype:0000731 | WBPhenotype:0001014	Observed: [WBPhenotype:0000182] apoptosis reduced: experiments=1,primary=1,specific=1,observed=1 | Observed: [WBPhenotype:0000686] organism ionizing radiation response variant: experiments=1,primary=1,specific=1,observed=1 | Observed: [WBPhenotype:0000731] germ cell hypersensitive ionizing radiation: experiments=3,primary=3,specific=3,observed=3 | Observed: [WBPhenotype:0001014] pathogen resistance increased: experiments=1,primary=1,specific=1,observed=1	M79.1c	M79.1
WBGene00000019	abt-1			C24F3.5	C24F3.5
WBGene00000020	abt-2			F12B6.1	F12B6.1
WBGene00000021	abt-3				F55G11.9
WBGene00000022	abt-4			Y39D8C.1	Y39D8C.1
WBGene00000023	abt-5			Y53C10A.9	Y53C10A.9
WBGene00000024	abu-1	WBPhenotype:0000012	Not Observed: [WBPhenotype:0000012] DAF C dauer constitutive: experiments=8,primary=8,specific=8,observed=4	AC3.3	AC3.3
WBGene00000025	abu-2			F19G12.7	F19G12.7
WBGene00000026	abu-3			F31A3.1	F31A3.1
WBGene00000027	abu-4			Y5H2A.3	Y5H2A.3
WBGene00000028	abu-5			Y105C5A.4	Y105C5A.4
WBGene00000029	abu-6			C03A7.7	C03A7.7
WBGene00000030	abu-7			C03A7.8	C03A7.8
WBGene00000031	abu-8	WBPhenotype:0000012	Not Observed: [WBPhenotype:0000012] DAF C dauer constitutive: experiments=8,primary=8,specific=8,observed=4	C03A7.14	C03A7.14
WBGene00000032	abu-9			R09F10.2	R09F10.2
WBGene00000033	abu-10			F35A5.3	F35A5.3
WBGene00000034	abu-11			T01D1.6	T01D1.6
WBGene00000035	ace-1			W09B12.1	W09B12.1
WBGene00000036	ace-2			Y44E3A.2	Y44E3A.2
WBGene00000037	ace-3			Y48B6A.8	Y48B6A.8
WBGene00000038	ace-4	WBPhenotype:0000688	Observed: [WBPhenotype:0000688] STE sterile: experiments=1,primary=1,specific=0,observed=1	Y48B6A.7	Y48B6A.7
